,name,score
2383,radeon vega 3 athlon silver 3050u,832
2384,radeon vega 3 mobile,1047
2385,radeon vega 3 ryzen 3 3200u,831
2386,radeon vega 3 ryzen 3 3250u,673
2387,radeon vega 3 ryzen embedded r1305g,580
2388,radeon vega 3 ryzen embedded r1505g,738
2389,radeon vega 3 ryzen embedded r1606g,856
2390,radeon vega 6,1313
2391,radeon vega 6 ryzen 3 3300u,1357
2392,radeon vega 6 ryzen 3 3350u,1446
2393,radeon vega 6 ryzen 3 pro 3300u w,1295
2394,radeon vega 8,1572
2395,radeon vega 8 mobile,1429
2396,radeon vega 8 mobile ryzen 5 3500u,2005
2397,radeon vega 8 ryzen 3 3200g,1611
2398,radeon vega 8 ryzen 3 3200ge,1994
2399,radeon vega 8 ryzen 3 pro 3200g,1247
2400,radeon vega 8 ryzen 3 pro 3200ge w,1586
2401,radeon vega 8 ryzen 5 3450u,1286
2402,radeon vega 8 ryzen 5 3500u,1358
2403,radeon vega 8 ryzen 5 3550h,1658
2404,radeon vega 8 ryzen 5 pro 3500u w,1487
2405,radeon vega 9,1587
2406,radeon vega 9 ryzen 5 3550h,1516
2407,radeon vega 9 ryzen 5 microsoft surface edition,1496
2408,radeon vega frontier edition,12769
2409,radeon vii,16366
2410,radeon x1050,49
2411,radeon x1200,32
2412,radeon x1250,37
2413,radeon x1270,31
2414,radeon x1300,58
2415,radeon x1300 pro,84
2416,radeon x1550,66
2417,radeon x1550 64 bit,47
2418,radeon x1600,49
2419,radeon x1600 pro,98
2420,radeon x1600 pro x1300xt,69
2421,radeon x1600 xt,115
2422,radeon x1650 gto,74
2423,radeon x1650 pro,84
2424,radeon x1650 se,71
2425,radeon x1700 targa edition,116
2426,radeon x1800 gto,140
2427,radeon x1900 crossfire edition,137
2428,radeon x1900 gt,145
2429,radeon x1950 crossfire edition,151
2430,radeon x1950 gt,106
2431,radeon x1950 pro,112
2432,radeon x300se,38
2433,radeon x550,50
2434,radeon x550xt,56
2435,radeon x550xtx,70
2436,radeon x600 256mb hypermemory,56
2437,radeon x600 pro,67
2438,radeon x600 se,49
2439,radeon x600xt,91
2440,radeon x700,72
2441,radeon x700 pro,75
2442,radeon x700 se,71
2443,radeon x800 gt,84
2444,radeon x800 gto,114
2445,radeon x800 pro,64
2446,radeon x800 pro gto,73
2447,radeon x800 se,129
2448,radeon x800 xl,69
2449,radeon x800 xt,97
2450,radeon x800 xt platinum edition,81
2451,radeon x800gt,79
2452,radeon x850 pro,72
2453,radeon x850 xt,81
2454,radeon x850 xt platinum edition,81
2455,radeon xpress 1100,34
2456,radeon xpress 1150,29
2457,radeon xpress 1200,35
2458,radeon xpress 1250,42
2459,radeon xpress 1270,26
2460,radeon xpress 1300,52
2461,radeon xpress 1300m,40
2462,radeon xpress 200,29
2463,radeon xpress 200 crossfire,18
2464,radeon xpress 200m,22
2465,radeont 610m,1088
2466,radeont 660m,2220
2467,radeont 660m ryzen 5 7535hs,4051
2468,radeont 680m ryzen 7 6800h,2381
2469,radeont 680m ryzen 7 7735hs,5626
2470,radeont 780m,7079
2471,radeont rx 6850m xt,14609
2472,radeont rx vega 11,1842
2473,radeont ryzen 3 3250u,581
2474,rage 128 pro,1
2475,rage 128 pro agp 4x tmds,1
2476,rage fury pro xpert 2000 pro,3
2477,rdpdd chained dd,238
2478,red hat qxl,52
2479,rgh drivers v3,11
2480,riva tnt2 model 64 model 64 pro,3
2481,riva tnt2 tnt2 pro,3
2482,rtx 1000 ada generation laptop,13351
2483,rtx 2000 ada generation,17139
2484,rtx 2000 ada generation embedded,15505
2485,rtx 2000 ada generation laptop,15202
2486,rtx 2000e ada generation,14395
2487,rtx 3000 ada generation laptop,15821
2488,rtx 3500 ada generation embedded,25188
2489,rtx 3500 ada generation laptop,19687
2490,rtx 4000 ada generation,24076
2491,rtx 4000 ada generation laptop,22118
